package_id,migration,operation_id,source_evidence,capability_layer,external_effect_status
00054,00054_service_period_member_grid_management.sql,createServicePeriodMemberGridCollaborator,docs/evidence/p4/backend-capability-ledger.md,V2_LOCAL_BACKEND,NOT_EXECUTED
00054,00054_service_period_member_grid_management.sql,createServicePeriodMemberView,docs/evidence/p4/backend-capability-ledger.md,V2_LOCAL_BACKEND,NOT_EXECUTED
00054,00054_service_period_member_grid_management.sql,deleteServicePeriodMemberGridCollaborator,docs/evidence/p4/backend-capability-ledger.md,V2_LOCAL_BACKEND,NOT_EXECUTED
00054,00054_service_period_member_grid_management.sql,deleteServicePeriodMemberView,docs/evidence/p4/backend-capability-ledger.md,V2_LOCAL_BACKEND,NOT_EXECUTED
00054,00054_service_period_member_grid_management.sql,getServicePeriodMemberGridAccess,docs/evidence/p4/backend-capability-ledger.md,V2_LOCAL_BACKEND,NOT_EXECUTED
00054,00054_service_period_member_grid_management.sql,getServicePeriodMemberGridSchema,docs/evidence/p4/backend-capability-ledger.md,V2_LOCAL_BACKEND,NOT_EXECUTED
00054,00054_service_period_member_grid_management.sql,getServicePeriodMemberGridShareSettings,docs/evidence/p4/backend-capability-ledger.md,V2_LOCAL_BACKEND,NOT_EXECUTED
00054,00054_service_period_member_grid_management.sql,listServicePeriodMemberViews,docs/evidence/p4/backend-capability-ledger.md,V2_LOCAL_BACKEND,NOT_EXECUTED
00054,00054_service_period_member_grid_management.sql,queryServicePeriodMemberGrid,docs/evidence/p4/backend-capability-ledger.md,V2_LOCAL_BACKEND,NOT_EXECUTED
00054,00054_service_period_member_grid_management.sql,updateServicePeriodMemberGridCollaborator,docs/evidence/p4/backend-capability-ledger.md,V2_LOCAL_BACKEND,NOT_EXECUTED
00054,00054_service_period_member_grid_management.sql,updateServicePeriodMemberView,docs/evidence/p4/backend-capability-ledger.md,V2_LOCAL_BACKEND,NOT_EXECUTED
00061,00061_survey_operations_local_config.sql,getSurveyOperations,docs/evidence/p4/backend-capability-ledger.md,V2_LOCAL_BACKEND,NOT_EXECUTED
00061,00061_survey_operations_local_config.sql,getSurveyOperationsPageData,docs/evidence/p4/backend-capability-ledger.md,V2_LOCAL_BACKEND,NOT_EXECUTED
00061,00061_survey_operations_local_config.sql,listSurveyExternalPushLogs,docs/evidence/p4/backend-capability-ledger.md,V2_LOCAL_BACKEND,NOT_EXECUTED
00061,00061_survey_operations_local_config.sql,listSurveyQuestionnaireExternalPushLogs,docs/evidence/p4/backend-capability-ledger.md,V2_LOCAL_BACKEND,NOT_EXECUTED
00061,00061_survey_operations_local_config.sql,queueSurveyExternalPushTest,docs/evidence/p4/backend-capability-ledger.md,V2_LOCAL_BACKEND,NOT_EXECUTED
00061,00061_survey_operations_local_config.sql,saveSurveyCompletionOperations,docs/evidence/p4/backend-capability-ledger.md,V2_LOCAL_BACKEND,NOT_EXECUTED
00061,00061_survey_operations_local_config.sql,saveSurveyExternalPushOperations,docs/evidence/p4/backend-capability-ledger.md,V2_LOCAL_BACKEND,NOT_EXECUTED
00063,00063_group_ops_local_plans.sql,activateGroupOpsPlan,docs/evidence/p4/backend-capability-ledger.md,V2_LOCAL_BACKEND,NOT_EXECUTED
00063,00063_group_ops_local_plans.sql,addGroupOpsPlanGroupAsset,docs/evidence/p4/backend-capability-ledger.md,V2_LOCAL_BACKEND,NOT_EXECUTED
00063,00063_group_ops_local_plans.sql,addGroupOpsPlanMember,docs/evidence/p4/backend-capability-ledger.md,V2_LOCAL_BACKEND,NOT_EXECUTED
00063,00063_group_ops_local_plans.sql,addGroupOpsPlanNode,docs/evidence/p4/backend-capability-ledger.md,V2_LOCAL_BACKEND,NOT_EXECUTED
00063,00063_group_ops_local_plans.sql,archiveGroupOpsPlan,docs/evidence/p4/backend-capability-ledger.md,V2_LOCAL_BACKEND,NOT_EXECUTED
